,Province_State,Population,Total Deaths
1124,Kentucky,23994,5998
1125,Kentucky,66799,8671
1127,Kentucky,10901,719
1128,Kentucky,4415,541
1129,Kentucky,14590,799
1130,Kentucky,25758,12665
1131,Kentucky,57876,28757
1132,Kentucky,12359,1179
1133,Kentucky,64979,26952
1134,Kentucky,2108,266
1135,Kentucky,16695,1957
1136,Kentucky,24460,2205
1137,Kentucky,17923,4324
1138,Kentucky,57004,5362
1139,Kentucky,49024,11246
1140,Kentucky,18572,4358
1141,Kentucky,19351,1705
1142,Kentucky,25769,7948
1143,Kentucky,12294,1129
1144,Kentucky,14651,1066
1145,Kentucky,8471,891
1147,Kentucky,14381,1782
1148,Kentucky,132896,43759
1149,Kentucky,12095,2122
1150,Kentucky,20333,4510
1151,Kentucky,12942,1096
1152,Kentucky,36264,14086
1153,Kentucky,7157,428
1154,Kentucky,26734,1490
1155,Louisiana,62045,32481
1156,Louisiana,25627,8366
1157,Louisiana,126604,30388
1158,Louisiana,21891,2411
1159,Louisiana,40144,16053
1160,Louisiana,37497,7822
1161,Louisiana,13241,5993
1162,Louisiana,127039,82672
1163,Louisiana,240204,311169
1164,Louisiana,203436,133997
1165,Louisiana,9918,1406
1166,Louisiana,6973,55
1167,Louisiana,9494,1637
1168,Louisiana,15670,3294
1169,Louisiana,19259,3321
1170,Louisiana,27463,8846
1171,Louisiana,440059,364461
1172,Louisiana,6861,694
1173,Louisiana,19135,12582
1174,Louisiana,33395,10565
1175,Louisiana,20015,13110
1176,Louisiana,22389,4001
1177,Louisiana,69830,27103
1178,Louisiana,32511,10609
1179,Louisiana,15744,3340
1180,Louisiana,432493,395084
1181,Louisiana,31368,12031
1182,Louisiana,14892,2271
1183,Louisiana,244390,82582
1184,Louisiana,97614,51149
1185,Louisiana,46742,10781
1186,Louisiana,140789,61659
1187,Louisiana,10951,1984
1188,Louisiana,24874,8345
1189,Louisiana,38158,13096
1190,Louisiana,390144,279863
1191,Louisiana,153279,151896
1193,Louisiana,23197,1145
1194,Louisiana,21730,4333
1195,Louisiana,129648,95235
1196,Louisiana,8442,1571
1197,Louisiana,20122,4884
1198,Louisiana,23884,6694
1199,Louisiana,47244,5765
1200,Louisiana,53100,10394
1201,Louisiana,10132,365
1202,Louisiana,21096,2819
1203,Louisiana,42837,13091
1204,Louisiana,82124,53484
1205,Louisiana,53431,14987
1206,Louisiana,49348,29831
1207,Louisiana,260419,199227
1208,Louisiana,134758,113262
1209,Louisiana,4334,91
1210,Louisiana,110461,62254
1212,Louisiana,22108,8590
1213,Louisiana,59511,21337
1214,Louisiana,47429,15269
1215,Louisiana,46194,25034
1216,Louisiana,38340,14874
1217,Louisiana,26465,3856
1218,Louisiana,10830,2562
1219,Louisiana,15568,1202
1220,Louisiana,13904,2300
1221,Maine,108277,26471
1222,Maine,67055,12348
1223,Maine,295003,63711
1224,Maine,30199,2087
1225,Maine,54987,5192
1226,Maine,122302,28335
1227,Maine,39772,1323
1228,Maine,34634,880
1230,Maine,57975,10325
1231,Maine,152148,39855
1232,Maine,16785,882
1233,Maine,35856,1011
1234,Maine,50484,5853
1236,Maine,39715,2516
1237,Maine,31379,2273
1238,Maine,207641,39089
1239,Maryland,70416,47538
1240,Maryland,579234,366947
1241,Maryland,827370,1115216
1242,Maryland,593490,684895
1243,Maryland,92525,12343
1244,Maryland,33406,3545
1245,Maryland,168447,73339
1246,Maryland,102855,28869
1247,Maryland,163257,59161
1248,Maryland,31929,5183
1249,Maryland,259547,115147
1250,Maryland,29014,5526
1251,Maryland,255441,119194
1252,Maryland,325690,71457
1253,Maryland,19422,2561
1254,Maryland,1050688,990181
1256,Maryland,909327,962820
1257,Maryland,50381,6629
1258,Maryland,25616,2683
1259,Maryland,113510,25299
1260,Maryland,37181,5640
1262,Maryland,151049,106514
1263,Maryland,103609,43414
1264,Maryland,52276,14221
1265,Massachusetts,212990,121823
1266,Massachusetts,124944,59125
1267,Massachusetts,565217,675892
1268,Massachusetts,17332,0
1270,Massachusetts,789034,1019948
1271,Massachusetts,70180,12798
1272,Massachusetts,466372,620627
1273,Massachusetts,160830,57835
1274,Massachusetts,1611699,1711568
1275,Massachusetts,11399,0
1276,Massachusetts,706775,668815
1278,Massachusetts,521202,532732
1279,Massachusetts,803907,700822
1281,Massachusetts,830622,928657
1282,Michigan,10405,2375
1283,Michigan,9108,186
1284,Michigan,118081,36910
1285,Michigan,28405,8477
1286,Michigan,23324,2552
1287,Michigan,14883,3139
1288,Michigan,8209,1632
1289,Michigan,61550,11787
1290,Michigan,103126,85737
1291,Michigan,17766,2471
1292,Michigan,153401,76045
1293,Michigan,43517,14561
1294,Michigan,134159,83976
1295,Michigan,51787,9980
1296,Michigan,26143,2163
1297,Michigan,25276,5933
1298,Michigan,37349,4947
1299,Michigan,30950,11248
1300,Michigan,79595,17249
1301,Michigan,14029,597
1302,Michigan,35784,12479
1303,Michigan,25239,6212
1304,Michigan,110268,47689
1305,Michigan,33415,4267
1307,Michigan,405813,342064
1308,Michigan,25449,6524
1309,Michigan,13975,2817
1310,Michigan,93088,21097
1311,Michigan,40711,14798
1312,Michigan,45605,15871
1313,Michigan,35684,4511
1314,Michigan,30981,9956
1315,Michigan,292406,116919
1316,Michigan,64697,12194
1317,Michigan,25127,10998
1318,Michigan,11066,3775
1319,Michigan,69872,17370
1320,Michigan,158510,71908
1321,Michigan,265066,108140
1322,Michigan,18038,1988
1323,Michigan,656955,288931
1324,Michigan,2116,133
1325,Michigan,11853,845
1326,Michigan,87607,45450
1327,Michigan,21761,1875
1328,Michigan,98451,32352
1329,Michigan,191995,54408
1330,Michigan,6229,263
1331,Michigan,10799,761
1332,Michigan,873972,972556
1333,Michigan,24558,4185
1334,Michigan,66699,9843
1335,Michigan,29144,4930
1336,Michigan,43453,5456
1337,Michigan,22780,2990
1339,Michigan,83156,20636
1340,Michigan,15118,2014
1341,Michigan,150500,64101
1342,Michigan,63888,18543
1343,Michigan,9328,1283
1344,Michigan,173566,88971
1345,Michigan,48980,9745
1346,Michigan,1257584,976635
1347,Michigan,26467,4088
1348,Michigan,20997,5170
1349,Michigan,5720,920
1350,Michigan,23460,3527
1351,Michigan,8241,1564
1352,Michigan,24668,5372
1353,Michigan,291830,125859
1355,Michigan,12592,1843
1356,Michigan,24019,5952
1357,Michigan,190539,173216
1358,Michigan,41170,17106
1359,Michigan,8094,179
1360,Michigan,68122,20899
1361,Michigan,159128,121342
1362,Michigan,60964,16081
1363,Michigan,52245,29820
1365,Michigan,75677,27930
1366,Michigan,367601,76975
1367,Michigan,1749343,2294502
1368,Michigan,33631,5774
1369,Minnesota,15886,1868
1370,Minnesota,356921,171083
1371,Minnesota,34423,4632
1372,Minnesota,47188,7976
1373,Minnesota,40889,14960
1374,Minnesota,4991,66
1375,Minnesota,67653,5978
1376,Minnesota,25008,3395
1377,Minnesota,35871,6400
1378,Minnesota,105089,7675
1379,Minnesota,29779,4106
1380,Minnesota,11800,1329
1381,Minnesota,56579,6927
1382,Minnesota,64222,8276
1383,Minnesota,8818,528
1384,Minnesota,5463,21
1385,Minnesota,11196,873
1386,Minnesota,65055,14097
1387,Minnesota,429021,175744
1388,Minnesota,20934,281
1389,Minnesota,38141,7709
1390,Minnesota,13653,1628
1391,Minnesota,21067,633
1392,Minnesota,30281,3632
1393,Minnesota,46340,10085
1394,Minnesota,5972,120
1395,Minnesota,1265843,963724
1396,Minnesota,18600,388
1397,Minnesota,21491,2061
1398,Minnesota,40596,7635
1399,Minnesota,45130,11729
1400,Minnesota,9846,253
1401,Minnesota,16337,1775
1402,Minnesota,43199,9267
1403,Minnesota,4298,487
1404,Minnesota,12229,966
1405,Minnesota,6623,424
1406,Minnesota,10641,602
1407,Minnesota,3740,28
1408,Minnesota,28887,1505
1409,Minnesota,5639,28
1410,Minnesota,25474,3042
1411,Minnesota,5527,190
1412,Minnesota,9336,309
1413,Minnesota,19683,2436
1414,Minnesota,35893,6174
1415,Minnesota,23222,2968
1416,Minnesota,26277,7195
1417,Minnesota,33386,6181
1418,Minnesota,40062,3087
1419,Minnesota,8194,253
1420,Minnesota,34274,2634
1421,Minnesota,21629,2006
1422,Minnesota,6375,148
1423,Minnesota,158293,18896
1424,Minnesota,58746,13508
1426,Minnesota,14119,985
1427,Minnesota,29579,2444
1428,Minnesota,9126,615
1429,Minnesota,31364,6600
1430,Minnesota,11249,289
1431,Minnesota,550321,388700
1432,Minnesota,4055,105
1433,Minnesota,15170,1522
1434,Minnesota,14548,1549
1435,Minnesota,66972,16190
1436,Minnesota,9315,453
1437,Minnesota,15165,1125
1438,Minnesota,149013,29576
1439,Minnesota,97238,14126
1440,Minnesota,14865,401
1441,Minnesota,199070,99307
1442,Minnesota,161075,51642
1443,Minnesota,36649,2486
1444,Minnesota,9805,153
1445,Minnesota,9266,562
1446,Minnesota,24664,2263
1447,Minnesota,3259,71
1449,Minnesota,21627,185
1450,Minnesota,13682,2050
1451,Minnesota,18612,946
1452,Minnesota,262440,83758
1453,Minnesota,10897,338
1454,Minnesota,6207,325
1455,Minnesota,50484,3122
1456,Minnesota,138377,35746
1457,Minnesota,9709,515
1458,Mississippi,30693,8000
1459,Mississippi,36953,10616
1460,Mississippi,12297,2226
1461,Mississippi,18174,6078
1462,Mississippi,8259,1144
1463,Mississippi,30628,13352
1464,Mississippi,14361,2663
1465,Mississippi,9947,1635
1466,Mississippi,17103,4814
1467,Mississippi,8210,592
1468,Mississippi,8988,1208
1469,Mississippi,15541,5151
1470,Mississippi,19316,4121
1471,Mississippi,22124,7855
1472,Mississippi,28065,6651
1473,Mississippi,18636,6085
1474,Mississippi,184945,74836
1475,Mississippi,74897,32885
1476,Mississippi,7713,796
1477,Mississippi,24500,3466
1478,Mississippi,13586,1623
1479,Mississippi,20758,8216
1480,Mississippi,47632,9550
1481,Mississippi,208080,102651
1482,Mississippi,231840,145966
1483,Mississippi,17010,4687
1484,Mississippi,8064,1153
1485,Mississippi,1327,45
1486,Mississippi,23390,8377
1487,Mississippi,143617,58214
1488,Mississippi,16383,3242
1489,Mississippi,6990,781
1490,Mississippi,11128,1466
1491,Mississippi,68098,30817
1492,Mississippi,9742,1293
1493,Mississippi,54019,14129
1494,Mississippi,63343,9717
1495,Mississippi,74125,42860
1496,Mississippi,12586,1731
1497,Mississippi,22786,6398
1498,Mississippi,85436,33330
1499,Mississippi,28183,12328
1500,Mississippi,34153,11581
1501,Mississippi,58595,20295
1502,Mississippi,106272,41358
1503,Mississippi,24573,9124
1504,Mississippi,35294,13770
1505,Mississippi,35252,19490
1506,Mississippi,9775,3038
1507,Mississippi,29118,21489
1508,Mississippi,21018,4918
1509,Mississippi,10417,1319
1510,Mississippi,49587,11281
1512,Mississippi,34192,13002
1513,Mississippi,55535,27227
1514,Mississippi,11973,1817
1515,Mississippi,39288,13280
1516,Mississippi,32174,9901
1517,Mississippi,25126,5090
1518,Mississippi,6792,560
1519,Mississippi,155271,71013
1520,Mississippi,28124,6073
1521,Mississippi,4321,398
1522,Mississippi,26658,10594
1523,Mississippi,15916,2233
1524,Mississippi,18336,2862
1525,Mississippi,25110,7854
1526,Mississippi,13809,2202
1527,Mississippi,28321,10149
1528,Mississippi,22015,5139
1529,Mississippi,19383,5679
1530,Mississippi,9632,1182
1532,Mississippi,28815,6884
1533,Mississippi,14286,3299
1534,Mississippi,45381,16099
1535,Mississippi,43909,16555
1536,Mississippi,20183,3093
1537,Mississippi,9689,2339
1538,Mississippi,8630,1094
1539,Mississippi,17955,4297
1540,Mississippi,12108,1797
1541,Mississippi,29690,6142
1542,Missouri,25343,1633
1543,Missouri,17712,1639
1544,Missouri,5143,186
1545,Missouri,25388,4275
1546,Missouri,35789,5496
1547,Missouri,11754,1252
1548,Missouri,16172,3098
1549,Missouri,19443,3472
1550,Missouri,12133,979
1551,Missouri,180463,20702
1552,Missouri,87364,25576
1553,Missouri,42478,5959
1554,Missouri,9020,767
1555,Missouri,44743,5869
1556,Missouri,46305,10984
1557,Missouri,78871,16672
1558,Missouri,8679,652
1559,Missouri,5982,230
1560,Missouri,105780,24436
1561,Missouri,14349,1016
1562,Missouri,7426,508
1563,Missouri,88595,15440
1564,Missouri,6797,573
1565,Missouri,249948,36406
1566,Missouri,20387,5250
1567,Missouri,76745,16228
1568,Missouri,17709,1783
1569,Missouri,23920,4351
1570,Missouri,7561,523
1571,Missouri,16878,2380
1572,Missouri,8278,413
1573,Missouri,12547,1114
1574,Missouri,15573,2547
1575,Missouri,13185,2311
1576,Missouri,29131,2930
1577,Missouri,103967,27195
1578,Missouri,14706,3644
1579,Missouri,6571,647
1580,Missouri,293086,122629
1581,Missouri,9850,2331
1582,Missouri,8352,522
1583,Missouri,21824,3020
1584,Missouri,9544,808
1585,Missouri,4403,436
1586,Missouri,10001,592
1587,Missouri,40117,10577
1588,Missouri,10125,861
1589,Missouri,703011,241098
1590,Missouri,121328,60429
1591,Missouri,225081,62664
1592,Missouri,54062,5641
1593,Missouri,488943,207129
1594,Missouri,3959,94
1595,Missouri,35723,10877
1596,Missouri,32708,7018
1597,Missouri,38355,8892
1598,Missouri,9776,466
1599,Missouri,59013,6978
1600,Missouri,11920,1554
1601,Missouri,15227,3798
1602,Missouri,15117,1389
1603,Missouri,12088,941
1604,Missouri,8697,774
1605,Missouri,28530,4408
1606,Missouri,22837,1974
1607,Missouri,3617,123
1608,Missouri,25619,4637
1609,Missouri,13180,1598
1610,Missouri,16132,1508
1611,Missouri,8644,883
1612,Missouri,11551,1215
1613,Missouri,20627,4120
1614,Missouri,17076,3006
1615,Missouri,58236,9429
1616,Missouri,22092,1065
1617,Missouri,10529,518
1618,Missouri,13615,924
1620,Missouri,9174,1215
1621,Missouri,15805,1966
1622,Missouri,19136,968
1623,Missouri,42339,9370
1624,Missouri,44573,20051
1625,Missouri,18302,1122
1626,Missouri,104418,3557
1627,Missouri,32149,3717
1628,Missouri,52607,5302
1629,Missouri,4696,238
1630,Missouri,10309,375
1631,Missouri,24748,3530
1632,Missouri,23018,3657
1633,Missouri,6270,277
1634,Missouri,13288,1311
1635,Missouri,22761,3482
1636,Missouri,4660,186
1637,Missouri,4902,115
1638,Missouri,38280,8643
1639,Missouri,8166,699
1640,Missouri,5930,138
1641,Missouri,402022,118361
1642,Missouri,9397,718
1643,Missouri,67215,18183
1644,Missouri,994205,1210889
1645,Missouri,300576,165415
1646,Missouri,17894,656
1647,Missouri,29025,5422
1648,Missouri,31952,5294
1649,Missouri,6089,373
1650,Missouri,55928,14138
1651,Missouri,25398,3785
1653,Missouri,20563,3975
1654,Missouri,35649,3907
1655,Missouri,24730,6248
1656,Missouri,12873,978
1657,Missouri,39592,8172
1658,Missouri,2013,15
1659,Missouri,18289,2878
1660,Montana,9453,430
1661,Montana,13319,3679
1662,Montana,6681,506
1663,Montana,6237,221
1664,Montana,10725,400
1665,Montana,1252,14
1666,Montana,81366,32586
1667,Montana,5635,120
1668,Montana,11402,1210
1669,Montana,1690,43
1670,Montana,8613,1484
1671,Montana,9140,394
1672,Montana,2846,62
1673,Montana,11050,1287
1674,Montana,103806,12581
1675,Montana,114434,4792
1676,Montana,1258,6
1677,Montana,13753,2099
1678,Montana,821,14
1679,Montana,3379,51
1680,Montana,16484,2206
1681,Montana,12221,329
1682,Montana,2007,1
1683,Montana,30458,3726
1684,Montana,69432,9767
1685,Montana,2337,10
1686,Montana,19980,2879
1687,Montana,8600,176
1688,Montana,1664,27
1689,Montana,1862,78
1690,Montana,4397,135
1691,Montana,119600,14245
1692,Montana,4633,320
1694,Montana,16606,691
1695,Montana,487,1
1696,Montana,3954,400
1697,Montana,5911,61
1698,Montana,1682,41
1699,Montana,6890,466
1700,Montana,1077,10
1701,Montana,43806,3940
1702,Montana,10803,521
1703,Montana,11004,1762
1704,Montana,8937,1461
1705,Montana,12113,791
1706,Montana,3309,90
1707,Montana,34915,3903
1708,Montana,9642,353
1709,Montana,3737,91
1710,Montana,6147,335
1711,Montana,4736,288
1712,Montana,696,1
1714,Montana,7396,790
1715,Montana,2126,90
1716,Montana,969,36
1717,Montana,161300,82068
1718,Nebraska,31363,1046
1719,Nebraska,6298,110
1720,Nebraska,463,1
1721,Nebraska,745,3
1722,Nebraska,465,7
1723,Nebraska,5192,57
1724,Nebraska,10783,108
1725,Nebraska,1919,53
1726,Nebraska,2955,17
1727,Nebraska,49659,2475
1728,Nebraska,6459,197
1729,Nebraska,8016,119
1730,Nebraska,26248,492
1731,Nebraska,8402,130
1732,Nebraska,3924,62
1733,Nebraska,5689,89
1734,Nebraska,8910,202
1735,Nebraska,6203,192
1736,Nebraska,10709,303
1737,Nebraska,8846,227
1738,Nebraska,10777,307
1739,Nebraska,20026,1750
1740,Nebraska,8589,202
1741,Nebraska,23595,835
1742,Nebraska,1794,10
1743,Nebraska,5636,120
1744,Nebraska,36565,2481
1745,Nebraska,571327,85864
1746,Nebraska,1693,13
1747,Nebraska,5462,81
1748,Nebraska,2979,70
1749,Nebraska,2627,10
1750,Nebraska,4676,65
1751,Nebraska,21513,415
1752,Nebraska,1837,13
1753,Nebraska,1969,40
1754,Nebraska,1990,29
1755,Nebraska,623,21
1756,Nebraska,2356,16
1757,Nebraska,61353,4204
1758,Nebraska,9324,247
1759,Nebraska,3380,12
1760,Nebraska,922,0
1761,Nebraska,2762,70
1762,Nebraska,10067,238
1763,Nebraska,682,8
1764,Nebraska,6445,210
1765,Nebraska,7046,42
1766,Nebraska,5071,95
1767,Nebraska,6495,45
1768,Nebraska,8034,216
1769,Nebraska,806,0
1770,Nebraska,3632,67
1771,Nebraska,8332,102
1772,Nebraska,319090,13635
1773,Nebraska,34914,2039
1774,Nebraska,748,0
1775,Nebraska,664,0
1776,Nebraska,35099,1157
1777,Nebraska,494,1
1778,Nebraska,7755,179
1779,Nebraska,4642,241
1780,Nebraska,3519,104
1781,Nebraska,6972,211
1782,Nebraska,4148,61
1783,Nebraska,16012,206
1785,Nebraska,2613,20
1786,Nebraska,2891,69
1787,Nebraska,9034,135
1788,Nebraska,7148,313
1789,Nebraska,33470,1387
1790,Nebraska,5213,105
1791,Nebraska,10724,268
1792,Nebraska,7865,336
1793,Nebraska,1357,6
1794,Nebraska,14224,66
1795,Nebraska,187196,7132
1796,Nebraska,21578,470
1797,Nebraska,35618,2892
1798,Nebraska,17284,691
1799,Nebraska,5246,407
1800,Nebraska,3001,24
1801,Nebraska,1166,1
1802,Nebraska,5920,61
1803,Nebraska,5003,31
1804,Nebraska,722,1
1805,Nebraska,7224,266
1807,Nebraska,4158,39
1808,Nebraska,20729,544
1809,Nebraska,9385,101
1810,Nebraska,3487,90
1811,Nebraska,783,2
1812,Nebraska,13679,262
1813,Nevada,55916,16983
1814,Nevada,24909,4754
1815,Nevada,2266715,2255074
1816,Nevada,48905,3748
1817,Nevada,52778,7472
1818,Nevada,873,15
1819,Nevada,2029,3
1820,Nevada,16831,1651
1821,Nevada,5532,177
1822,Nevada,5183,51
1823,Nevada,57510,11099
1824,Nevada,4505,210
1825,Nevada,46523,19157
1827,Nevada,6725,468
1828,Nevada,4123,98
1830,Nevada,471519,245614
1831,Nevada,9580,304
1832,New Hampshire,61303,17765
1833,New Hampshire,48910,2325
1834,New Hampshire,76085,7003
1835,New Hampshire,31563,6388
1836,New Hampshire,89886,4566
1837,New Hampshire,417025,245560
1838,New Hampshire,151391,30627
1840,New Hampshire,309769,112156
1841,New Hampshire,130633,22661
1842,New Hampshire,43146,2993
1844,New Jersey,263670,269661
1845,New Jersey,932202,1755697
1846,New Jersey,445349,476754
1847,New Jersey,506471,750986
1848,New Jersey,92039,41048
1849,New Jersey,149527,128706
1850,New Jersey,798975,1776839
1851,New Jersey,291636,274696
1852,New Jersey,672391,1170721
1853,New Jersey,124371,31036
1854,New Jersey,367430,390113
1855,New Jersey,825062,1289183
1856,New Jersey,618795,922941
1857,New Jersey,491845,588560
1858,New Jersey,607186,1474651
1860,New Jersey,501826,974542
1861,New Jersey,62385,26993
1862,New Jersey,328934,262035
1863,New Jersey,140488,76565
1865,New Jersey,556341,972760
1866,New Jersey,105267,44653
1867,New Mexico,679121,688361
1868,New Mexico,3527,239
1869,New Mexico,64615,41920
1870,New Mexico,26675,17696
1871,New Mexico,11941,2075
1872,New Mexico,48954,19523
1873,New Mexico,1748,21
1874,New Mexico,218195,196006
1875,New Mexico,58460,36534
1876,New Mexico,26998,5800
1877,New Mexico,4300,161
1878,New Mexico,625,10
1879,New Mexico,4198,153
1880,New Mexico,71070,51153
1881,New Mexico,19572,2630
1882,New Mexico,19369,325
1883,New Mexico,23709,9570
1884,New Mexico,71367,124556
1885,New Mexico,4521,236
1886,New Mexico,67490,20117
1888,New Mexico,8253,2064
1889,New Mexico,38921,11826
1890,New Mexico,18500,5041
1891,New Mexico,123958,192245
1892,New Mexico,27277,3338
1893,New Mexico,146748,83544
1894,New Mexico,150358,55483
1895,New Mexico,10791,3383
1896,New Mexico,16637,4562
1897,New Mexico,32723,5090
1898,New Mexico,15461,1783
1900,New Mexico,4059,187
1901,New Mexico,76688,35265
1902,New York,305506,120065
1903,New York,46091,11743
1904,New York,1418207,4741465
1905,New York,190488,123606
1906,New York,76117,24396
1907,New York,76576,13683
1908,New York,126903,40913
1909,New York,83456,27287
1910,New York,47207,8740
1911,New York,80485,7822
1912,New York,59461,13045
1913,New York,47581,7699
1914,New York,44135,3920
1915,New York,294218,150150
1916,New York,918702,1190976
1917,New York,36885,3100
1918,New York,50022,1593
1919,New York,53383,13786
1920,New York,57280,16564
1921,New York,47188,10277
1922,New York,4416,15
1923,New York,61319,17553
1924,New York,109834,10179
1925,New York,2559903,8405893
1926,New York,26296,1661
1927,New York,62914,8935
1928,New York,70941,8698
1929,New York,741770,631440
1930,New York,49221,23787
1931,New York,1356924,2116602
1932,New York,1628706,3112248
1933,New York,209281,119451
1934,New York,228671,196770
1935,New York,460528,353725
1936,New York,109777,20034
1937,New York,384940,132128
1938,New York,40352,7103
1939,New York,117124,22158
1940,New York,59493,5149
1942,New York,98320,8607
1943,New York,2253858,7728429
1944,New York,158714,39560
1945,New York,476143,1092725
1946,New York,325789,236942
1947,New York,229863,59521
1948,New York,155299,54640
1949,New York,30999,961
1950,New York,17807,507
1951,New York,34016,4092
1952,New York,107740,20820
1953,New York,95379,28659
1954,New York,1476601,2471216
1955,New York,75432,10371
1956,New York,48203,3668
1957,New York,102180,4504
1958,New York,177573,62501
1960,New York,63944,9893
1961,New York,61204,8622
1962,New York,89918,16114
1963,New York,967506,1317175
1964,New York,39859,4133
1965,New York,24913,853
1966,North Carolina,169509,45272
1967,North Carolina,37497,6896
1968,North Carolina,11137,180
1969,North Carolina,24446,4886
1970,North Carolina,27203,3015
1971,North Carolina,17557,997
1972,North Carolina,46994,9659
1973,North Carolina,18947,2391
1974,North Carolina,32722,6956
1975,North Carolina,142820,36461
1976,North Carolina,261191,90778
1977,North Carolina,90485,26504
1978,North Carolina,216453,63959
1979,North Carolina,82178,18373
1980,North Carolina,10867,55
1981,North Carolina,69473,3590
1982,North Carolina,22604,1209
1983,North Carolina,159551,84856
1984,North Carolina,74470,5252
1985,North Carolina,28612,4391
1986,North Carolina,13943,1624
1987,North Carolina,11231,696
1988,North Carolina,97947,43624
1989,North Carolina,55508,22943
1990,North Carolina,102139,19123
1991,North Carolina,335509,75480
1992,North Carolina,27763,690
1993,North Carolina,37009,426
1994,North Carolina,167609,54790
1995,North Carolina,42846,4727
1996,North Carolina,58741,18851
1997,North Carolina,321488,36088
1998,North Carolina,51472,9307
1999,North Carolina,382295,146855
2000,North Carolina,69685,2707
2001,North Carolina,224529,139132
2002,North Carolina,11562,232
2003,North Carolina,8441,421
2004,North Carolina,60443,6473
2005,North Carolina,21069,2001
2006,North Carolina,537174,224431
2007,North Carolina,50010,14994
2008,North Carolina,135976,40075
2009,North Carolina,62317,14242
2010,North Carolina,117417,22425
2011,North Carolina,23677,4010
2012,North Carolina,55234,6234
2013,North Carolina,4937,117
2014,North Carolina,181806,56746
2015,North Carolina,43938,2951
2016,North Carolina,209339,48875
2017,North Carolina,9419,801
2018,North Carolina,61779,9948
2019,North Carolina,55949,16809
2020,North Carolina,86111,5970
2021,North Carolina,35858,4136
2022,North Carolina,21755,3275
2023,North Carolina,22440,3825
2024,North Carolina,45756,9355
2025,North Carolina,1110356,376843
2026,North Carolina,14964,597
2027,North Carolina,27173,7807
2028,North Carolina,100880,32927
2029,North Carolina,94298,32648
2030,North Carolina,234473,48143
2031,North Carolina,19483,3257
2032,North Carolina,197938,45361
2033,North Carolina,148476,8432
2035,North Carolina,12726,551
2036,North Carolina,39824,4732
2037,North Carolina,63060,6593
2038,North Carolina,13463,241
2039,North Carolina,39490,4281
2040,North Carolina,180742,10618
2041,North Carolina,20724,1826
2042,North Carolina,143667,56509
2043,North Carolina,44829,12011
2044,North Carolina,130625,65571
2045,North Carolina,91010,21782
2046,North Carolina,142088,82060
2047,North Carolina,67029,40219
2048,North Carolina,63531,12998
2049,North Carolina,34823,7675
2050,North Carolina,62806,13188
2051,North Carolina,45591,12375
2052,North Carolina,71783,34526
2053,North Carolina,14271,1012
2054,North Carolina,34385,2989
2055,North Carolina,4016,50
2057,North Carolina,239859,66425
2058,North Carolina,44535,6516
2059,North Carolina,1111761,175533
2060,North Carolina,19731,941
2061,North Carolina,11580,1493
2062,North Carolina,56177,1863
2063,North Carolina,123131,43702
2064,North Carolina,68412,23949
2065,North Carolina,81801,23760
2066,North Carolina,37667,5897
2067,North Carolina,18069,1570
2068,North Dakota,2216,48
2069,North Dakota,10415,909
2070,North Dakota,6832,276
2071,North Dakota,928,1
2072,North Dakota,6282,279
2073,North Dakota,3024,45
2074,North Dakota,2115,6
2075,North Dakota,95626,28728
2076,North Dakota,181923,32988
2077,North Dakota,3762,28
2078,North Dakota,4872,550
2079,North Dakota,2264,10
2080,North Dakota,4424,36
2081,North Dakota,2287,19
2082,North Dakota,3241,158
2083,North Dakota,3210,244
2084,North Dakota,1761,10
2085,North Dakota,69451,6289
2086,North Dakota,2274,66
2087,North Dakota,2231,3
2088,North Dakota,2499,36
2089,North Dakota,2480,91
2090,North Dakota,4046,171
2091,North Dakota,1850,78
2092,North Dakota,5745,477
2093,North Dakota,2497,45
2094,North Dakota,15024,288
2095,North Dakota,9450,1083
2096,North Dakota,8187,282
2097,North Dakota,31364,7614
2098,North Dakota,10545,649
2099,North Dakota,2879,169
2100,North Dakota,1959,15
2102,North Dakota,6801,136
2103,North Dakota,3975,393
2104,North Dakota,11519,1299
2105,North Dakota,5218,379
2106,North Dakota,2327,100
2107,North Dakota,16177,237
2108,North Dakota,14176,930
2109,North Dakota,3898,45
2110,North Dakota,1315,28
2111,North Dakota,4230,182
2112,North Dakota,750,0
2113,North Dakota,31489,2777
2114,North Dakota,1890,3
2115,North Dakota,20704,3392
2116,North Dakota,2189,71
2117,North Dakota,8036,308
2119,North Dakota,10641,502
2120,North Dakota,67641,17869
2121,North Dakota,3834,78
2122,North Dakota,37589,2128
2123,Northern Mariana Islands,55144,735
2124,Ohio,27698,11536
2125,Ohio,102351,78699
2126,Ohio,53484,21869
2127,Ohio,97241,66569
2128,Ohio,65327,9910
2129,Ohio,45656,15978
2130,Ohio,67006,45331
2131,Ohio,43432,15077
2132,Ohio,383134,357320
2133,Ohio,26914,7431
2134,Ohio,38885,10204
2135,Ohio,134083,113979
2136,Ohio,206428,115639
2137,Ohio,41968,14537
2138,Ohio,101883,82361
2139,Ohio,36600,11750
2140,Ohio,41494,21148
2141,Ohio,1235072,1906789
2142,Ohio,51113,25086
2143,Ohio,38087,12105
2144,Ohio,209177,34965
2145,Ohio,74266,32321
2146,Ohio,157574,68000
2147,Ohio,28525,8042
2148,Ohio,1316756,1185871
2149,Ohio,42126,13818
2150,Ohio,29898,8602
